Invoice_id,Customer_Id,Invoice_date,invoice_gross_value,Invoice_currency
623164,16430,2024-08-18,456686.64,KES
275887,77885,2024-07-24,580846.83,USD
676226,98994,2024-07-21,567384.52,KES
950009,18669,2024-07-30,598683.4,USD
712781,13068,2024-07-14,732186.29,KES
966002,8001,2024-12-30,848746.02,KES
722496,26316,2024-05-15,448666.59,USD
523495,94389,2024-05-17,757042.12,USD
560297,79830,2024-06-29,798394.53,KES
850847,85792,2024-06-22,880642.77,USD
410953,76038,2024-11-30,919670.33,USD
759295,87511,2024-11-18,707998.33,USD
530612,39777,2024-12-09,917744.01,USD
895005,51823,2024-09-19,840962.43,USD
776215,61436,2024-11-16,716506.65,USD
567011,92142,2024-12-04,634591.65,USD
974146,58537,2024-06-03,979647.9,USD
977446,62237,2024-09-15,645012.51,USD
316777,39813,2024-12-06,705205.49,USD
601461,79503,2024-12-14,557637.37,KES
379451,40165,2024-10-09,713461.52,USD
609478,12843,2024-08-06,988327.54,KES
967167,15148,2024-09-01,891355.33,KES
617482,91753,2024-06-24,917158.94,USD
348106,43186,2024-05-21,938595.7,USD
112562,71168,2024-12-22,476131.92,USD
632439,8350,2024-08-21,918218.99,USD
325315,46918,2024-05-10,877624.07,USD
112198,84223,2024-05-25,466053.12,USD
306307,53959,2024-12-23,656354.5,KES
257761,6056,2024-09-12,664225.08,KES
890722,67005,2024-07-25,447977.03,KES
968614,17856,2024-08-13,971218.73,USD
667499,31154,2024-11-10,853261.54,USD
915409,94299,2024-10-02,638475.52,KES
981916,25395,2024-08-07,727331.79,USD
316539,23038,2024-08-06,786053.3,KES
566842,87079,2024-06-03,834681.14,KES
696963,79718,2024-09-17,667846.77,USD
734767,5459,2024-10-24,804957.72,KES
784582,42543,2024-12-03,773826.2,USD
286102,83447,2024-07-27,968833.8,KES
615404,65246,2024-07-05,685507.32,KES
190643,64488,2024-05-10,888823.1,USD
452868,80923,2024-09-19,875870.42,KES
289817,58475,2024-11-11,959297.97,KES
791152,4927,2024-12-24,507638.54,USD
158884,40128,2024-08-28,883483.35,KES
758153,71764,2024-05-11,723494.08,USD
228106,48132,2024-08-18,871555.95,KES
717573,68328,2024-12-13,737512.27,KES
474186,1534,2024-08-10,894224.77,USD
17454,20795,2024-07-12,495751.41,KES
43318,30978,2024-09-22,919566.46,USD
648590,73526,2024-10-27,680126.98,KES
134241,22535,2024-09-13,742556.16,KES
222900,78681,2024-07-12,973676.42,KES
768751,75172,2024-06-30,531894.34,USD
46831,39354,2024-12-25,538672.37,KES
949935,30309,2024-05-15,787049.26,USD
754093,56849,2024-06-10,596718.4,KES
346869,41141,2024-05-13,504200.35,KES
356307,32341,2024-09-30,653586.28,KES
151893,80322,2024-07-27,952250.77,USD
13750,30443,2024-09-29,691960.46,USD
249196,27130,2024-10-29,815719.38,KES
787845,76612,2024-12-05,920228.31,USD
141875,7318,2024-12-11,928260.96,USD
134671,77848,2024-05-01,514207.54,USD
677079,29070,2024-09-22,843163.67,USD
797454,71100,2024-09-30,658867.33,USD
748864,54602,2024-07-11,669631.7,KES
106418,23094,2024-09-09,464959.8,USD
470240,64488,2024-09-24,536530.13,KES
370135,51896,2024-12-08,674990.17,KES
421240,67569,2024-08-28,928208.05,USD
241685,15755,2024-06-21,684442.14,USD
12255,55621,2024-09-27,687643.43,USD
797452,96129,2024-09-02,943170.79,USD
998756,38226,2024-06-07,995813.1,KES
284427,94812,2024-11-14,494797.16,KES
640008,86985,2024-10-31,558738.98,USD
575648,39978,2024-10-26,916071.43,KES
355515,64961,2024-08-17,478588.72,KES
98515,96698,2024-11-05,814443.24,KES
648043,30941,2024-11-27,556120.02,KES
584694,58907,2024-12-04,948207.83,USD
725208,18741,2024-06-28,868812.47,USD
270945,38491,2024-07-21,659638.54,KES
495544,73514,2024-06-25,743424.88,KES
906515,98846,2024-09-19,865370.77,USD
728072,81265,2024-06-28,495783.91,USD
575031,12249,2024-10-08,769190.22,KES
208565,19936,2024-06-26,638160.29,USD
78163,39346,2024-11-15,972943.99,USD
324329,40070,2024-09-17,731708.46,USD
164938,59094,2024-08-30,905181.69,KES
344414,78176,2024-06-02,746609.93,USD
942598,37503,2024-05-10,768899.62,KES
511415,46695,2024-12-17,701162.5,USD
574953,84776,2024-08-15,619600.21,KES
759090,43921,2024-07-22,702207.51,USD
364468,76611,2024-06-16,487561.64,KES
481440,15758,2024-05-17,808266.81,USD
469697,92365,2024-07-10,682000.76,KES
661937,24487,2024-12-19,622466.89,USD
742684,8129,2024-09-17,907429.84,USD
759382,92127,2024-09-24,841447.53,KES
372708,83696,2024-08-03,936810.09,USD
276803,70657,2024-06-25,905758.21,KES
463736,1472,2024-08-31,841859.26,USD
309824,29397,2024-10-31,661423.16,KES
369441,20730,2024-09-29,744021.4,USD
470980,92688,2024-12-14,720256.69,USD
235771,68634,2024-09-08,472262.05,KES
747554,35613,2024-06-04,671521.77,KES
451879,95804,2024-07-19,836351.17,KES
621489,68612,2024-11-29,738164.98,KES
466785,71944,2024-07-08,657084.8,KES
569595,22997,2024-07-17,920068.9,USD
480108,79537,2024-11-29,807742.07,USD
126264,11123,2024-06-18,906367.62,KES
786071,23834,2024-07-26,688954.68,KES
818047,38303,2024-05-22,656032.1,KES
517943,97759,2024-08-31,523018.08,USD
65360,76002,2024-08-28,986412.22,USD
172624,53803,2024-08-30,653118.77,KES
798088,25014,2024-12-22,841148.27,KES
136962,89015,2024-08-14,858684.32,KES
36113,25162,2024-08-06,893974.33,USD
785529,47299,2024-11-21,512498.12,USD
94460,10534,2024-12-21,527602.92,USD
36014,25927,2024-10-06,758628.92,KES
84795,6982,2024-10-06,823355.2,USD
145414,79212,2024-09-10,989038.84,USD
19476,69912,2024-06-25,663286.15,KES
450958,12991,2024-07-23,537596.31,KES
241077,25634,2024-09-23,947192.71,USD
968105,78954,2024-05-06,784926.65,USD
704368,60022,2024-07-02,706332.99,USD
12562,62942,2024-11-17,931498.61,USD
825864,13213,2024-05-25,745486.1,KES
557935,56742,2024-06-25,728060.32,KES
662895,17791,2024-05-12,634405.79,KES
